
2025/04/21 (16:17:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/22 (05:00:11) | ===> btop++ v.1.4.0
2025/04/22 (05:00:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/27 (23:17:26) | ===> btop++ v.1.4.0
2025/04/27 (23:17:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/27 (23:17:39) | ===> btop++ v.1.4.0
2025/04/27 (23:17:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/28 (04:48:12) | ===> btop++ v.1.4.0
2025/04/28 (04:48:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/28 (05:19:41) | ===> btop++ v.1.4.0
2025/04/28 (05:19:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/28 (18:09:55) | ===> btop++ v.1.4.0
2025/04/28 (18:09:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (00:29:12) | ===> btop++ v.1.4.0
2025/05/02 (00:29:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (00:36:20) | ===> btop++ v.1.4.0
2025/05/02 (00:36:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (00:44:20) | ===> btop++ v.1.4.0
2025/05/02 (00:44:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (00:47:30) | ===> btop++ v.1.4.0
2025/05/02 (00:47:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (01:17:29) | ===> btop++ v.1.4.0
2025/05/02 (01:17:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (01:19:18) | ===> btop++ v.1.4.0
2025/05/02 (01:19:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (06:10:28) | ===> btop++ v.1.4.0
2025/05/02 (06:10:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

